seed,fmax_mhz,pass_at_64mhz,slack_ns_at_64mhz
1,73.17,PASS,1.958
2,68.90,PASS,1.111
3,72.10,PASS,1.755
4,68.51,PASS,1.029
5,69.29,PASS,1.193
6,73.03,PASS,1.931
7,74.17,PASS,2.143
8,70.10,PASS,1.360
